Year Released,Movie,Length,RT Score,IMDB Score,Metacritic Score,Opening Weekend,Worldwide Gross,Domestic Gross,Adjusted Domestic Gross,International Gross,Domestic %,International %,Production Budget,Oscars Nominated,Oscars Won
1995.0,Toy Story,81.0,100.0,8.3,92.0,29.14,362.0,191.8,356.21,170.2,52.98%,47.02%,30.0,3.0,0.0
1998.0,A Bug's Life,96.0,92.0,7.2,77.0,33.26,363.4,162.8,277.18,200.6,44.80%,55.20%,45.0,1.0,0.0
1999.0,Toy Story 2,92.0,100.0,7.9,88.0,57.39,485.0,245.9,388.43,239.2,50.70%,49.32%,90.0,1.0,0.0
2001.0,"Monsters, Inc.",90.0,96.0,8.1,78.0,62.58,528.8,255.9,366.12,272.9,48.39%,51.61%,115.0,3.0,1.0
2003.0,Finding Nemo,104.0,99.0,8.2,90.0,70.25,895.6,339.7,457.46,555.9,37.93%,62.07%,94.0,4.0,1.0
2004.0,The Incredibles,115.0,97.0,8.0,90.0,70.47,631.4,261.4,341.28,370.0,41.40%,58.60%,92.0,4.0,2.0
2006.0,Cars,116.0,74.0,7.2,73.0,60.12,462.0,244.1,302.59,217.9,52.84%,47.16%,70.0,2.0,0.0
2007.0,Ratatouille,111.0,96.0,8.0,96.0,47.0,623.7,206.4,243.65,417.3,33.09%,66.91%,150.0,5.0,1.0
2008.0,WALL-E,97.0,96.0,8.4,94.0,63.1,521.3,223.8,253.11,297.5,42.93%,57.07%,180.0,6.0,1.0
2009.0,Up,96.0,98.0,8.3,88.0,68.11,731.3,293.0,318.9,438.3,40.07%,59.93%,175.0,5.0,2.0
2010.0,Toy Story 3,103.0,99.0,8.4,92.0,110.31,1063.2,415.0,423.88,648.2,39.03%,60.97%,200.0,5.0,2.0
2011.0,Cars 2,113.0,39.0,6.3,57.0,109.0,559.9,191.5,194.43,368.4,34.20%,65.80%,200.0,0.0,0.0
2012.0,Brave,100.0,78.0,7.2,69.0,66.3,539.0,237.3,243.39,301.7,44.03%,55.97%,185.0,1.0,1.0
2013.0,Monsters University,107.0,78.0,7.4,65.0,82.43,743.6,268.5,269.59,475.1,36.11%,63.89%,200.0,0.0,0.0
2015.0,Inside Out,102.0,98.0,8.8,93.0,90.4,677.1,340.5,340.5,336.6,50.29%,49.71%,175.0,,
2015.0,The Good Dinosaur,100.0,77.0,7.3,66.0,39.16,136.815,81.4,78.86,55.4,59.5%,40.5%,187.5,,
